2024-11-27 20:25:52.697 [info] Log level: Info
2024-11-27 20:25:52.697 [info] Validating found git in: "git"
2024-11-27 20:25:52.697 [info] Using git "2.44.0" from "git"
2024-11-27 20:25:52.697 [info] > git rev-parse --show-toplevel [5ms]
2024-11-27 20:25:52.697 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:52.712 [info] > git rev-parse --show-toplevel [10ms]
2024-11-27 20:25:52.776 [info] > git rev-parse --show-toplevel [7ms]
2024-11-27 20:25:52.798 [info] > git rev-parse --show-toplevel [11ms]
2024-11-27 20:25:52.805 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:52.815 [info] > git rev-parse --show-toplevel [3ms]
2024-11-27 20:25:52.822 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:52.829 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:52.834 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:52.841 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:52.848 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:52.854 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:52.914 [info] > git rev-parse --show-toplevel [53ms]
2024-11-27 20:25:52.944 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 20:25:52.953 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 20:25:52.960 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:52.967 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:52.980 [info] > git rev-parse --show-toplevel [6ms]
2024-11-27 20:25:52.989 [info] > git rev-parse --show-toplevel [3ms]
2024-11-27 20:25:52.994 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.001 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.010 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 20:25:53.017 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:53.025 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:53.034 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.042 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.048 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:53.056 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.063 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.069 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.076 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.082 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:53.088 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.093 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:53.100 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.107 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.113 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:53.119 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:53.126 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.134 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.139 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:53.147 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 20:25:53.154 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:53.163 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.170 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.179 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.187 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.194 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 20:25:53.204 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.211 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 20:25:53.219 [info] > git rev-parse --show-toplevel [0ms]
