2024-11-27 19:10:03.117 [info] Log level: Info
2024-11-27 19:10:03.117 [info] Validating found git in: "git"
2024-11-27 19:10:03.117 [info] Using git "2.44.0" from "git"
2024-11-27 19:10:03.117 [info] > git rev-parse --show-toplevel [37ms]
2024-11-27 19:10:03.120 [info] > git rev-parse --show-toplevel [3ms]
2024-11-27 19:10:03.137 [info] > git rev-parse --show-toplevel [5ms]
2024-11-27 19:10:03.143 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.148 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.154 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.158 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.165 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.179 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.186 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 19:10:03.256 [info] > git rev-parse --show-toplevel [39ms]
2024-11-27 19:10:03.264 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.271 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.281 [info] > git rev-parse --show-toplevel [3ms]
2024-11-27 19:10:03.290 [info] > git rev-parse --show-toplevel [3ms]
2024-11-27 19:10:03.297 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.303 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.309 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.316 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.325 [info] > git rev-parse --show-toplevel [2ms]
2024-11-27 19:10:03.331 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.337 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.342 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.350 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.357 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.362 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.367 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.372 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.379 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.385 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.391 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.398 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.405 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.411 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.416 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.421 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.428 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.436 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.443 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.449 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.453 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.459 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.464 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.471 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.479 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.485 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.493 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.501 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.508 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.516 [info] > git rev-parse --show-toplevel [0ms]
2024-11-27 19:10:03.525 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.533 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.542 [info] > git rev-parse --show-toplevel [1ms]
2024-11-27 19:10:03.552 [info] > git rev-parse --show-toplevel [1ms]
